ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part
1,64600001003,FH1,FUSE-2P-25.8X9.0,1,64600001003,Littelfuse,LCSC,C206887
2,1N4001,"D2,D3,D4,D5,D6,D1,D7,D8,D17,D16,D15,D14,D13,D12,D11,D10",DO-41,16,1N4001,DIOFIT,LCSC,C169150
3,WJ25C-B-7.62-8P-13-00A,"CN1,CN2",WJ25C-B-7.62-8P,2,WJ25C-B-7.62-8P-13-00A,ReliaPro,LCSC,C49492
4,MAX485DIL,U11,DIP8,1,,,Newark,78Y4941
5,MC7805BTG,U9,TO-220-3_L10.0-W4.5-P2.54-L,1,MC7805BTG,ON,LCSC,C45385
6,ILQ2,"U12,U13",DIP-16_L19.8-W6.5-P2.54-LS7.6-BL,2,ILQ2,VISHAY,LCSC,C145338
7,2N4033,"Q1,Q2,Q5,Q7,Q3,Q4,Q6,Q8",TO-39-3,8,2N4033,Central Semiconductor,Mouser,610-2N4033
8,CJ7812,U10,TO-220-3_L10.0-W4.5-P2.54-L,1,CJ7812,CJ,LCSC,C77894
9,4N25M,"U2,U3,U4,U5,U6,U7,U1,U8",DIP-6,8,4N25M,FAIRCHILD,LCSC,C5241
10,470uF,C2,CAP-TH_BD16.0-P7.50-D1.2-FD,1,470uF 100V 16*25,ValuePro,LCSC,C72551
11,1k,"R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R23,R24,R22,R1,R2,R3,R4,R5,R6,R7,R8",AXIAL-0.3,24,MFR0W4F1001A50,Uniroyal Elec,LCSC,C57435
12,10K,"R25,R26",AXIAL-0.4,2,CFR0W4J0103A50,UniOhm,LCSC,C61299
13,WJ25C-B-2P,"P5,P4,P1,P6",CONN-TH_2P-P7.62_WJ25C-B-7.62-2P,4,WJ25C-B-2P,ReliaPro,LCSC,C8422
14,220,"R27,R28,R29,R30,R31,R32,R33,R34",RES-TH_BD2.2-L6.5-P10.50-D0.6,8,CFR0W4J0221A50,UniOhm,LCSC,C61289
15,D50SB100,D9,DIO-BG-TH_DXXSBXX,1,D50SB100,Leshan Radio,LCSC,C411148
16,Arduino_Nano_Header,J1,DIP-30_L43.18-W15.24-ARDUINONANO,1,,,eBay,
